,albedo,sza,o2a_slope_a,o2a_slope_b,o2a_inter_a,o2a_inter_b
0,0.025,15.0,2.8554030333503206,0.4764129612189417,0.8928274997799116,1.832067653380206
1,0.025,30.0,3.951859966549652,0.5221901114741266,1.091921885284876,1.957053438183358
2,0.025,45.0,4.1772305483566345,0.44418691461907334,0.5350463936602629,1.4658687278104017
3,0.025,60.0,4.999999999999999,0.2873529638809732,0.46981603588355625,1.6214522581382556
4,0.025,75.0,4.999999999999999,0.009177485736389848,0.34571623050990036,1.5651309078127316
5,0.05,15.0,0.7535896723856652,0.40308351938507464,0.381591226779868,1.3387006518864475
6,0.05,30.0,0.431188390950695,0.1508358457967093,0.49248990753063987,1.5023560009081445
7,0.05,45.0,0.6536646116911108,0.19056138947431256,0.31170374751973257,1.1511836006701563
8,0.05,60.0,1.6217989920629763,0.305022154686859,0.18417470252088747,0.8883107506412087
9,0.05,75.0,4.999999999999999,0.2513411250756402,0.23004421455016455,1.013187200349898
10,0.1,15.0,0.1751287218436677,0.254559536827074,0.3236819529887891,1.3637161571510656
11,0.1,30.0,0.17286756191662192,0.16469593771659216,0.26268534975973656,1.2653450118663634
12,0.1,45.0,0.15845258912755428,0.018621175483276943,0.16274399027994318,0.9183223704745354
13,0.1,60.0,0.4067713956488016,0.15233258901699667,0.111147672161986,0.720225141609107
14,0.1,75.0,2.692685465149257,0.37594360582693415,0.23314923425353498,0.8836217509901544
15,0.15,15.0,0.14638786066677117,0.3168939939701199,0.2120596066254149,1.1982179898388639
16,0.15,30.0,0.11711163633783003,0.2280629922906558,0.14385132650731564,0.9670145731988674
17,0.15,45.0,0.14087387684113595,0.10546596376088473,0.14409521517261925,0.9635180530864969
18,0.15,60.0,0.24453576976211114,0.1468193886136067,0.09120383777727582,0.6641974437811073
19,0.15,75.0,1.0150351736173957,0.28229333915930777,0.20292061134608014,0.766989574379396
20,0.2,15.0,0.08490536871507087,0.26478603806221285,0.16917476159546246,1.0833663678786514
21,0.2,30.0,0.09442251174238162,0.21556435688879985,0.1380717533355888,0.990312699101027
22,0.2,45.0,0.14276090001883435,0.21170488205373628,0.09658946745274793,0.7558051937452517
23,0.2,60.0,0.1526076363001412,0.09948157626246391,0.10107690354096145,0.6869998783504792
24,0.2,75.0,0.5497437877304414,0.2339871756809716,0.20209150503408405,0.7207534672308173
25,0.25,15.0,0.056469894579279395,0.1469695046771164,0.1665825678257053,0.9842420066564426
26,0.25,30.0,0.06484240233180431,0.1957655890746622,0.1006787583700562,0.7338124217462582
27,0.25,45.0,0.06643889785678604,0.0960278048098673,0.0863454817629458,0.5877240459860613
28,0.25,60.0,0.09894180541150722,0.10281300801809296,0.0807397172728605,0.48552907407460894
29,0.25,75.0,0.23100869342088007,0.06121327099062032,0.18371886495149933,0.6239608524702129
30,0.3,15.0,0.052081170881159065,0.2487110837061417,0.1357764850351079,0.8549289195572374
31,0.3,30.0,0.0773580003678556,0.25097180768933053,0.08747672142228957,0.7567309930323003
32,0.3,45.0,0.07274493521978972,0.16675105881529895,0.07349554409401444,0.5495480039211816
33,0.3,60.0,0.07694930090970052,0.07615162127014412,0.08460413441758927,0.516585612271127
34,0.3,75.0,0.11467988439686191,1.863744377580572e-18,0.1923875899915905,0.6182529848825139
35,0.4,15.0,0.07091415870253892,0.3484101571961216,0.1158039394237113,0.8521285426614313
36,0.4,30.0,0.07665180409223671,0.31560068691928717,0.08150466345242556,0.7121656429471791
37,0.4,45.0,0.06298871506380803,0.15264022444507117,0.08260089887514446,0.6252280306910053
38,0.4,60.0,0.0756450871891666,0.10587029336449325,0.07513888804649657,0.5048792568573911
39,0.4,75.0,0.09320969422955684,0.06815922529013643,0.17724124866078894,0.5765663660391842
40,0.5,15.0,0.06474794857262321,0.34671595086001245,0.12152357016825442,0.9205264495242884
41,0.5,30.0,0.07973468211163164,0.4119876342883349,0.07290256622588834,0.6374672125909316
42,0.5,45.0,0.06180439473128787,0.24013900261207605,0.06820924176801671,0.5497062394919179
43,0.5,60.0,0.08907472111718621,0.18725838800021122,0.06860948944225653,0.4795495967256991
44,0.5,75.0,0.07097213476104426,1.2580689563761431e-16,0.18737752659109577,0.5798947278650135
